date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,VIC,79.0,78.0,79.0,77.4,77.3,0.0
2022-05-13 10:00:00,VIC,77.9,78.4,78.6,77.6,77.5,77.3
2022-05-13 11:00:00,VIC,78.3,77.8,78.3,77.3,77.2,77.4
2022-05-13 13:00:00,VIC,77.8,77.3,78.4,77.3,77.2,77.33333333333333
2022-05-13 14:00:00,VIC,78.4,78.0,78.9,77.3,77.2,77.3
2022-05-16 09:00:00,VIC,79.0,77.5,79.0,77.3,77.2,77.28
2022-05-16 10:00:00,VIC,77.5,77.5,78.0,77.3,77.2,77.26
2022-05-16 11:00:00,VIC,77.3,77.8,78.5,77.4,77.3,77.26
2022-05-16 13:00:00,VIC,77.9,77.9,78.0,76.3,76.2,77.22
2022-05-16 14:00:00,VIC,77.8,77.0,78.0,76.3,76.2,77.02
2022-05-17 09:00:00,VIC,76.0,76.2,76.8,75.9,75.8,76.82000000000001
2022-05-17 10:00:00,VIC,76.1,75.7,76.7,75.3,75.2,76.52
2022-05-17 11:00:00,VIC,75.5,75.4,76.3,75.3,75.2,76.12
2022-05-17 13:00:00,VIC,75.4,77.6,77.7,75.5,75.4,75.72
2022-05-17 14:00:00,VIC,77.6,78.0,78.0,76.8,76.7,77.02
2022-05-18 09:00:00,VIC,78.0,76.3,78.0,76.3,76.2,76.7
2022-05-18 10:00:00,VIC,76.3,76.2,77.6,76.1,76.0,75.76
2022-05-18 11:00:00,VIC,76.2,77.4,77.5,76.2,76.1,76.02
2022-05-18 13:00:00,VIC,77.4,76.3,77.5,76.3,76.2,76.06
2022-05-18 14:00:00,VIC,76.3,78.0,78.0,76.3,76.2,76.34
2022-05-19 09:00:00,VIC,77.0,76.4,77.0,76.3,76.2,76.06
2022-05-19 10:00:00,VIC,76.3,76.5,77.4,76.3,76.2,76.06
2022-05-19 11:00:00,VIC,76.5,76.6,77.4,76.6,76.5,76.14
2022-05-19 13:00:00,VIC,76.6,77.5,79.0,76.5,76.4,76.92
2022-05-19 14:00:00,VIC,77.2,77.9,78.4,77.2,77.0,77.18
2022-05-20 09:00:00,VIC,77.9,76.7,77.9,76.7,76.6,76.60000000000001
2022-05-20 10:00:00,VIC,76.7,77.6,77.7,76.7,76.6,76.64
2022-05-20 11:00:00,VIC,77.4,77.4,77.7,76.8,76.7,76.66
2022-05-20 13:00:00,VIC,77.4,76.8,77.4,76.7,76.6,76.38
2022-05-20 14:00:00,VIC,76.8,77.8,77.8,76.6,76.5,76.46
2022-05-23 09:00:00,VIC,77.6,76.9,77.7,76.8,76.7,76.46
2022-05-23 10:00:00,VIC,76.9,76.7,77.4,76.7,76.6,76.34
2022-05-23 11:00:00,VIC,76.7,76.6,76.9,76.7,76.6,76.42
2022-05-23 13:00:00,VIC,76.6,76.9,77.2,76.4,76.3,76.42
2022-05-23 14:00:00,VIC,76.5,77.4,77.4,76.3,76.2,76.39999999999999
2022-05-24 09:00:00,VIC,77.0,76.6,77.0,76.5,76.4,76.46
2022-05-24 10:00:00,VIC,76.6,76.8,76.9,76.6,76.5,76.48
2022-05-24 11:00:00,VIC,76.8,77.2,77.2,76.7,76.6,76.44
2022-05-24 13:00:00,VIC,77.2,76.6,77.6,76.6,76.5,76.5
2022-05-24 14:00:00,VIC,76.6,77.6,77.6,76.8,76.6,76.39999999999999
2022-05-25 09:00:00,VIC,77.6,77.0,77.7,76.8,76.7,76.62
2022-05-25 10:00:00,VIC,77.1,76.9,77.1,76.9,76.8,76.56
2022-05-25 11:00:00,VIC,76.9,77.4,77.5,77.0,76.9,76.6
2022-05-25 13:00:00,VIC,77.4,77.7,78.1,77.1,77.0,76.98
2022-05-25 14:00:00,VIC,77.8,77.7,77.9,77.8,77.7,77.18
2022-05-26 09:00:00,VIC,77.6,77.3,77.6,77.1,77.0,76.86
2022-05-26 10:00:00,VIC,77.3,77.1,77.5,77.1,77.0,76.8
2022-05-26 11:00:00,VIC,77.1,77.1,77.3,77.2,77.1,76.86
2022-05-26 13:00:00,VIC,77.1,77.2,77.4,77.2,77.1,76.96
2022-05-26 14:00:00,VIC,77.2,77.7,77.7,76.9,76.8,76.74
2022-05-27 09:00:00,VIC,77.4,77.1,77.4,77.2,77.1,76.98
2022-05-27 10:00:00,VIC,77.1,77.1,77.5,77.1,77.0,77.03999999999999
2022-05-27 11:00:00,VIC,77.1,77.9,77.9,77.1,77.0,76.8
2022-05-27 13:00:00,VIC,77.9,77.6,77.9,77.3,77.2,77.22
2022-05-27 14:00:00,VIC,77.3,78.0,78.0,77.3,77.2,77.1
2022-05-30 09:00:00,VIC,78.0,77.9,78.0,77.3,77.2,77.2
