date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,VND,23.55,22.8,23.7,22.15,22.1,0.0
2022-05-13 10:00:00,VND,22.8,22.4,22.85,22.35,22.3,22.1
2022-05-13 11:00:00,VND,22.4,22.0,22.4,22.0,21.95,22.200000000000003
2022-05-13 13:00:00,VND,22.0,22.05,22.7,22.0,21.95,22.116666666666667
2022-05-13 14:00:00,VND,22.1,21.95,22.3,22.0,21.95,22.075
2022-05-16 09:00:00,VND,23.0,23.15,23.45,23.05,23.0,22.05
2022-05-16 10:00:00,VND,23.15,23.0,23.25,22.9,22.85,22.26
2022-05-16 11:00:00,VND,23.0,23.1,23.1,22.9,22.85,22.44
2022-05-16 13:00:00,VND,23.05,22.75,23.1,22.25,22.2,22.62
2022-05-16 14:00:00,VND,22.6,22.65,23.05,22.65,22.6,22.64
2022-05-17 09:00:00,VND,22.45,23.0,23.2,21.95,21.9,22.38
2022-05-17 10:00:00,VND,23.05,23.75,24.05,23.1,23.05,22.68
2022-05-17 11:00:00,VND,23.75,23.65,23.85,23.65,23.6,22.77
2022-05-17 13:00:00,VND,23.65,24.2,24.2,23.7,23.65,23.07
2022-05-17 14:00:00,VND,24.2,24.2,24.2,24.2,24.2,23.23
2022-05-18 09:00:00,VND,25.0,25.7,25.8,24.5,24.45,23.5
2022-05-18 10:00:00,VND,25.7,25.25,25.7,25.1,25.05,23.79
2022-05-18 11:00:00,VND,25.25,25.25,25.4,25.25,25.2,24.19
2022-05-18 13:00:00,VND,25.3,25.0,25.4,24.95,24.9,24.509999999999998
2022-05-18 14:00:00,VND,25.0,24.75,25.1,24.8,24.75,24.759999999999998
2022-05-19 09:00:00,VND,24.0,24.6,24.8,23.95,23.9,23.85
2022-05-19 10:00:00,VND,24.6,24.85,25.1,24.65,24.6,24.64
2022-05-19 11:00:00,VND,24.85,24.85,25.4,24.85,24.8,24.78
2022-05-19 13:00:00,VND,24.85,24.75,25.1,24.75,24.7,24.85
2022-05-19 14:00:00,VND,24.75,25.2,25.35,24.75,24.7,24.75
2022-05-20 09:00:00,VND,25.5,25.3,25.7,25.1,25.05,24.88
2022-05-20 10:00:00,VND,25.3,25.15,25.3,25.15,25.1,25.0
2022-05-20 11:00:00,VND,25.15,25.0,25.35,24.9,24.85,24.95
2022-05-20 13:00:00,VND,25.0,24.8,25.05,24.55,24.5,24.740000000000002
2022-05-20 14:00:00,VND,24.8,24.6,25.0,24.6,24.5,24.67
2022-05-23 09:00:00,VND,24.8,24.1,24.85,24.05,24.0,24.36
2022-05-23 10:00:00,VND,24.1,24.05,24.45,24.1,24.05,23.87
2022-05-23 11:00:00,VND,24.1,23.95,24.15,23.95,23.9,23.88
2022-05-23 13:00:00,VND,23.95,23.35,23.95,23.4,23.35,23.65
2022-05-23 14:00:00,VND,23.3,23.3,23.5,22.95,22.9,23.02
2022-05-24 09:00:00,VND,23.3,23.0,23.45,22.7,22.6,22.76
2022-05-24 10:00:00,VND,23.0,22.85,23.3,22.85,22.8,22.78
2022-05-24 11:00:00,VND,22.8,22.75,23.0,22.65,22.6,22.55
2022-05-24 13:00:00,VND,22.75,21.95,22.9,21.9,21.85,22.07
2022-05-24 14:00:00,VND,21.9,24.0,24.0,21.75,21.7,22.55
2022-05-25 09:00:00,VND,24.0,24.25,24.7,23.95,23.9,23.939999999999998
2022-05-25 10:00:00,VND,24.25,24.0,24.3,23.95,23.9,23.939999999999998
2022-05-25 11:00:00,VND,24.0,24.3,24.3,24.05,24.0,23.99
2022-05-25 13:00:00,VND,24.3,24.85,25.2,24.3,24.25,24.48
2022-05-25 14:00:00,VND,24.8,24.8,25.0,24.75,24.7,24.61
2022-05-26 09:00:00,VND,24.5,24.45,24.75,24.4,24.35,24.41
2022-05-26 10:00:00,VND,24.45,25.0,25.5,24.45,24.4,24.61
2022-05-26 11:00:00,VND,24.95,24.8,25.0,24.85,24.8,24.63
2022-05-26 13:00:00,VND,24.8,24.65,24.9,24.35,24.3,24.53
2022-05-26 14:00:00,VND,24.7,24.35,24.75,24.25,24.2,24.330000000000002
2022-05-27 09:00:00,VND,24.35,24.25,24.45,24.05,24.0,24.009999999999998
2022-05-27 10:00:00,VND,24.25,24.15,24.4,24.1,24.05,24.03
2022-05-27 11:00:00,VND,24.15,24.2,24.25,24.15,24.1,24.04
2022-05-27 13:00:00,VND,24.15,24.7,24.95,24.1,24.05,24.12
2022-05-27 14:00:00,VND,24.7,24.45,24.7,24.3,24.25,24.27
2022-05-30 09:00:00,VND,24.65,24.55,24.8,24.5,24.45,24.32
2022-05-30 10:00:00,VND,24.55,25.15,25.15,24.55,24.5,24.53
2022-05-30 11:00:00,VND,25.15,25.15,25.25,25.1,25.05,24.97
2022-05-30 13:00:00,VND,25.15,25.05,25.3,24.95,24.9,24.94
2022-05-30 14:00:00,VND,25.1,24.95,25.1,24.95,24.9,24.87
2022-05-31 09:00:00,VND,25.0,25.5,25.7,24.65,24.6,24.79
2022-05-31 10:00:00,VND,25.5,25.3,25.55,25.15,25.1,25.06
2022-05-31 11:00:00,VND,25.3,25.45,25.6,25.35,25.3,25.1
2022-05-31 13:00:00,VND,25.45,25.1,25.55,25.15,25.1,25.07
2022-05-31 14:00:00,VND,25.1,25.25,25.35,25.0,24.95,25.02
2022-06-01 09:00:00,VND,25.0,25.1,25.4,25.05,25.0,24.93
2022-06-01 10:00:00,VND,25.1,24.8,25.2,24.65,24.6,24.73
2022-06-01 11:00:00,VND,24.8,24.85,24.9,24.75,24.7,24.71
2022-06-01 13:00:00,VND,24.9,25.25,25.3,24.75,24.7,24.88
2022-06-01 14:00:00,VND,25.25,25.45,25.9,25.3,25.25,25.150000000000002
2022-06-02 09:00:00,VND,25.5,25.8,25.95,25.6,25.5,25.150000000000002
2022-06-02 10:00:00,VND,25.8,25.65,25.9,25.5,25.45,25.23
2022-06-02 11:00:00,VND,25.65,25.5,25.7,25.45,25.4,25.19
2022-06-02 13:00:00,VND,25.5,25.3,25.55,25.0,24.95,25.080000000000002
2022-06-02 14:00:00,VND,25.25,24.85,25.3,24.65,24.6,24.72
2022-06-03 09:00:00,VND,24.65,24.5,24.85,24.4,24.35,24.31
2022-06-03 10:00:00,VND,24.5,24.3,24.7,24.3,24.25,24.32
2022-06-03 11:00:00,VND,24.3,24.15,24.4,24.15,24.1,24.080000000000002
2022-06-03 13:00:00,VND,24.15,24.7,24.7,24.1,24.05,24.04
2022-06-03 14:00:00,VND,24.7,24.35,24.9,24.3,24.25,24.28
2022-06-06 09:00:00,VND,24.25,24.1,24.55,24.0,23.95,24.02
2022-06-06 10:00:00,VND,24.15,24.4,24.45,24.15,24.1,24.05
2022-06-06 11:00:00,VND,24.35,24.8,25.0,24.35,24.3,24.26
2022-06-06 13:00:00,VND,24.8,24.5,25.0,24.5,24.45,24.37
2022-06-06 14:00:00,VND,24.5,24.1,24.55,24.1,24.05,24.07
2022-06-07 09:00:00,VND,23.95,23.45,24.05,23.35,23.3,23.68
2022-06-07 10:00:00,VND,23.45,22.85,23.45,22.9,22.85,22.830000000000002
2022-06-07 11:00:00,VND,22.85,23.15,23.2,22.55,22.5,22.66
2022-06-07 13:00:00,VND,23.15,23.2,23.3,22.95,22.9,22.84
2022-06-07 14:00:00,VND,23.15,23.9,24.05,23.05,23.0,23.3
2022-06-08 09:00:00,VND,24.35,23.95,24.35,23.9,23.85,23.98
