date,code,open,close,high,2nd_min_price,lowest_price,lowest_prediction
2022-05-13 09:00:00,VSH,32.3,30.5,32.3,30.5,30.1,0.0
2022-05-13 10:00:00,VSH,31.0,31.3,31.3,31.2,31.0,30.1
2022-05-13 11:00:00,VSH,31.3,30.2,31.3,30.2,30.1,30.55
2022-05-13 13:00:00,VSH,30.2,30.05,30.5,30.1,30.05,30.400000000000002
2022-05-13 14:00:00,VSH,30.05,30.05,31.2,30.1,30.05,30.3125
2022-05-16 09:00:00,VSH,30.15,31.0,32.0,31.0,30.15,30.26
2022-05-16 10:00:00,VSH,30.5,30.2,30.5,30.0,29.4,30.27
2022-05-16 11:00:00,VSH,30.2,30.2,30.2,30.2,30.2,30.12
2022-05-16 13:00:00,VSH,30.2,29.0,30.2,29.0,28.6,29.96
2022-05-16 14:00:00,VSH,29.1,27.95,30.0,28.8,27.95,29.66
2022-05-17 09:00:00,VSH,28.0,27.7,28.2,27.5,27.4,29.24
2022-05-17 10:00:00,VSH,28.0,28.4,28.9,28.0,27.8,28.84
2022-05-17 11:00:00,VSH,28.4,28.4,28.4,28.4,28.4,28.39
2022-05-17 13:00:00,VSH,28.8,29.9,29.9,28.8,28.5,28.92
2022-05-17 14:00:00,VSH,29.9,29.9,29.9,29.9,29.9,29.66
2022-05-18 09:00:00,VSH,31.0,30.5,31.0,30.0,29.9,29.96
2022-05-18 10:00:00,VSH,30.5,30.5,30.9,30.7,30.5,29.919999999999998
2022-05-18 11:00:00,VSH,30.9,30.9,31.0,31.0,30.9,30.33
2022-05-18 13:00:00,VSH,30.9,30.95,31.0,30.7,30.6,30.48
2022-05-18 14:00:00,VSH,30.95,30.9,30.95,30.95,30.9,30.58
2022-05-19 09:00:00,VSH,29.8,30.3,30.5,30.0,29.8,29.919999999999998
2022-05-19 10:00:00,VSH,30.3,31.5,31.5,30.4,30.3,30.71
2022-05-19 11:00:00,VSH,31.5,31.7,31.8,31.7,31.5,30.71
2022-05-19 13:00:00,VSH,31.5,32.6,32.6,31.45,31.4,30.77
2022-05-19 14:00:00,VSH,32.2,32.5,32.6,32.2,31.9,30.98
2022-05-20 09:00:00,VSH,32.5,33.0,33.5,32.6,32.5,31.18
2022-05-20 10:00:00,VSH,32.95,32.2,32.95,32.4,32.2,31.48
2022-05-20 11:00:00,VSH,32.5,32.6,32.6,32.6,32.5,31.9
2022-05-20 13:00:00,VSH,32.6,31.9,32.6,32.0,31.9,31.9
2022-05-20 14:00:00,VSH,31.9,32.4,32.4,32.4,31.9,31.98
2022-05-23 09:00:00,VSH,32.0,32.0,32.0,32.0,32.0,31.72
2022-05-23 10:00:00,VSH,31.0,31.8,32.0,31.7,31.0,31.56
2022-05-23 11:00:00,VSH,31.8,31.5,31.8,31.8,31.5,31.48
2022-05-23 13:00:00,VSH,31.3,31.3,31.5,31.4,31.3,31.18
2022-05-23 14:00:00,VSH,31.3,31.0,31.3,31.05,31.0,30.94
2022-05-24 09:00:00,VSH,31.0,31.0,31.7,31.0,30.5,31.02
2022-05-24 10:00:00,VSH,31.0,31.2,31.6,30.6,30.55,30.8
2022-05-24 11:00:00,VSH,30.6,30.75,30.75,30.75,30.6,30.56
2022-05-24 13:00:00,VSH,31.0,30.5,31.0,30.0,29.0,29.9
2022-05-24 14:00:00,VSH,30.5,31.0,31.0,30.8,30.5,30.7
2022-05-25 09:00:00,VSH,32.1,32.0,32.5,32.1,32.0,32.04
2022-05-25 10:00:00,VSH,31.4,31.3,31.6,31.4,31.3,31.26
2022-05-25 11:00:00,VSH,31.4,32.4,32.4,31.7,31.4,31.66
2022-05-25 13:00:00,VSH,32.4,32.4,32.8,32.5,32.4,32.1
2022-05-25 14:00:00,VSH,32.2,31.85,32.7,31.85,31.8,32.04
2022-05-26 09:00:00,VSH,31.8,33.0,33.4,31.85,31.8,31.919999999999998
2022-05-26 10:00:00,VSH,32.6,32.8,33.0,32.6,32.5,32.3
2022-05-26 11:00:00,VSH,32.85,32.6,32.95,32.85,32.6,32.42
2022-05-26 13:00:00,VSH,32.6,32.4,32.65,32.5,32.4,32.3
2022-05-26 14:00:00,VSH,32.4,32.9,32.9,32.4,32.0,32.339999999999996
2022-05-27 09:00:00,VSH,33.2,33.0,33.2,32.9,32.5,32.36
2022-05-27 10:00:00,VSH,33.0,33.35,33.4,33.1,33.0,32.42
2022-05-27 11:00:00,VSH,33.35,34.0,34.5,33.4,33.35,32.62
2022-05-27 13:00:00,VSH,34.2,33.8,34.4,33.6,33.5,32.79
2022-05-27 14:00:00,VSH,33.5,33.7,33.8,33.1,33.0,32.97
2022-05-30 09:00:00,VSH,33.5,34.95,34.95,33.4,33.3,33.07
2022-05-30 10:00:00,VSH,34.9,34.6,34.95,34.4,34.35,33.23
2022-05-30 11:00:00,VSH,34.6,34.5,34.6,34.5,34.4,33.5
